name,img_link,description,description_url,short_description,type
House,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT73lgpaFO4WkXpvjoQ4JU-c9bh5sEZMrd7eHhoKxvYibtZui88,"A house is a single-unit residential building. It may range in complexity from a rudimentary hut to a complex structure of wood, masonry, concrete or other material, outfitted with plumbing, electrical, and heating, ventilation, and air conditioning systems.",https://en.wikipedia.org/wiki/House,Site listing category,['Thing']
Company,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQx_96hPNha7-f7LqOhkqmvfbS1pYtY5u6i2VbpF0AmT1AAA91j,"A company, abbreviated as co., is a legal entity representing an association of legal people, whether natural, juridical or a mixture of both, with a specific objective. Company members share a common purpose and unite to achieve specific, declared goals.",https://en.wikipedia.org/wiki/Company,Organization type,['Thing']
Cat,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTdOw41eNDDjksIYHwWl-iBQaL-Uvk5huI8ohra-qDGbulds-er,"The cat, commonly referred to as the domestic cat or house cat, is the only domesticated species in the family Felidae. Recent advances in archaeology and genetics have shown that the domestication of the cat occurred in the Near East around 7500 BC.",https://en.wikipedia.org/wiki/Cat,Animal,['Thing']
Houseplant,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQlXeOOZZA03sb6SgI_fyFoO3l0jJbpx-HA_NK4u0_y2NeSq33w,"A houseplant, sometimes known as a pot plant, potted plant, or an indoor plant, is an ornamental plant that is grown indoors. As such, they are found in places like residences and offices, mainly for decorative purposes.",https://en.wikipedia.org/wiki/Houseplant,,['Thing']
United States House of Representatives,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSW7yXW8azBIU3cbp7cVtDMdaNv32D_MHZpbbDUTQQv2SaCuSat,"The United States House of Representatives is the lower chamber of the United States Congress, with the Senate being the upper chamber. Together, they comprise the national bicameral legislature of the United States.",https://en.wikipedia.org/wiki/United_States_House_of_Representatives,,"['Organization', 'Thing', 'Corporation']"
Audience,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcREakRWn_SAjLRQy49UqAc01nao7XNEk65hewHEE9MX1-JRXzhW,"An audience is a group of people who participate in a show or encounter a work of art, literature, theatre, music, video games, or academics in any medium. Audience members participate in different ways in different kinds of art.",https://en.wikipedia.org/wiki/Audience,,['Thing']
Housekeeping,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQxBhdhCqLV7JTu06inCm2tBNz6kpMSp-h7D9Vmi8hAJ7peaqUn,"Housekeeping is the management and routine support activities of running and maintaining an organized physical institution occupied or used by people, like a house, ship, hospital or factory, such as cleaning, tidying/organizing, cooking, shopping, and bill payment.",https://en.wikipedia.org/wiki/Housekeeping,,['Thing']
House music,,House is a genre of electronic dance music characterized by a repetitive four-on-the-floor beat and a typical tempo of 120-130 beats per minute as a re-emergence of 1970s disco.,https://en.wikipedia.org/wiki/House_music,Music genre,['Thing']
Restaurant,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSHzY0jGWV0jUz9uk27zeCoG8VLWi-UY1CT0U66fifHafJq4Q73,"A restaurant is a business that prepares and serves food and drinks to customers. Meals are generally served and eaten on the premises, but many restaurants also offer take-out and food delivery services.",https://en.wikipedia.org/wiki/Restaurant,,['Thing']
Housewife,,"A housewife is a woman whose role is running or managing her family's home—housekeeping, which may include caring for her children; cleaning and maintaining the home; making, buying and/or mending clothes for the family; buying, cooking, and storing food for the family; buying goods that the family needs for everyday life; partially or solely managing the family budget—and who is not employed outside the home.",https://en.wikipedia.org/wiki/Housewife,Career,['Thing']
Companies House,,"Companies House is the executive agency of the British Government that maintains the register of companies, employs the company registrars and is responsible for incorporating all forms of companies in the United Kingdom.",https://en.wikipedia.org/wiki/Companies_House,Government agency,"['Organization', 'Thing', 'GovernmentOrganization']"
